100,F100,Fokker 100
141,B461,BAe 146-100 Pax
142,B462,BAe 146-200 Pax
143,B463,BAe 146-300 Pax
146,,BAe 146 all pax models
14F,,BAe 146 Freighter (-100/200/300QT & QC)
14X,B461,BAe 146 Freighter (-100QT & QC)
14Y,B462,BAe 146 Freighter (-200QT & QC)
14Z,B463,BAe 146 Freighter (-200QT & QC)
310,A310,Airbus A310 all pax models
312,A310,Airbus A310-200 pax
313,A310,Airbus A310-300 pax
318,A318,Airbus A318
319,A319,Airbus A319
31F,A310,Airbus A310 Freighter
31X,A310,Airbus A310-200 Freighter
31Y,A310,Airbus A310-300 Freighter
320,A320,Airbus A320-100/200
321,A321,Airbus A321-100/200
32S,n/a,Airbus A318/319/320/321
330,A330,Airbus A330 all models
332,A332,Airbus A330-200
333,A333,Airbus A330-300
33F,A332,Airbus A330 Freighter
33X,A332,Airbus A330-200 Freighter
340,A340,Airbus A340 all models
342,A342,Airbus A340-200
343,A343,Airbus A340-300
345,A345,Airbus A340-500
346,A346,Airbus A340-600
351,A35K,Airbus A350-1000
359,A359,Airbus A350-900
380,A388,Airbus A380 pax
38F,,Airbus A380 Freighter
703,B703,Boeing 707-300 pax
707,n/a,Boeing 707/720 all pax models
70F,B703,Boeing 707 Freighter
70M,B703,Boeing 707 Combi
717,B712,Boeing 717
721,B721,Boeing 727-100 pax
722,B722,Boeing 727-200 pax
727,n/a,Boeing 727 all pax models
72B,B721,Boeing 727-100 Mixed Configuration
72C,B722,Boeing 727-200 Mixed Configuration
72F,n/a,Boeing 727 Freighter (-100/200)
72M,n/a,Boeing 727 Combi
72S,B722,Boeing 727-200 Advanced pax
72W,B721,Boeing 727-200 (winglets) pax
72X,B721,Boeing 727-100 Freighter
72Y,B722,Boeing 727-200 Freighter
731,B731,Boeing 737-100 pax
732,B732,Boeing 737-200 pax
733,B733,Boeing 737-300 pax
734,B734,Boeing 737-400 pax
735,B735,Boeing 737-500 pax
736,B736,Boeing 737-600 pax
737,n/a,Boeing 737 all pax models
738,B738,Boeing 737-800 pax
739,B739,Boeing 737-900 pax
73C,B733,Boeing 737-300 (winglets) pax
73E,B735,Boeing 737-500 (winglets)pax
73F,n/a,Boeing 737 all Freighter models
73G,B737,Boeing 737-700 pax
73H,B738,Boeing 737-800 (winglets) pax
73J,B739,Boeing 737-900 (winglets) pax
73L,B732,Boeing 737-200 Combi
73M,n/a,Boeing 737 Combi
73P,B734,Boeing 737-400 Freighter
73Q,B734,Boeing 737-400 Combi
73R,B737,Boeing 737-700 Combi
73W,B737,Boeing 737-700 (winglets) pax
73X,B732,Boeing 737-200 Freighter
73Y,B733,Boeing 737-300 Freighter
741,B741,Boeing 747-100 pax
742,B742,Boeing 747-200 pax
743,B743,Boeing 747-300 pax
744,B744,Boeing 747-400 pax
747,n/a,Boeing 747 all pax models
748,B748,Boeing 747-8 pax
74B,B744,Boeing 747-400 Swingtail Freighter
74C,B742,Boeing 747-200 Combi
74D,B743,Boeing 747-300 Combi
74E,B744,Boeing 747-400 Combi
74F,n/a,Boeing 747 all Freighter models
74J,B744,Boeing 747-400 (Domestic) pax
74L,N74S,Boeing 747SP
74M,n/a,Boeing 747 all Combi models
74R,B74R,Boeing 747SR pax
74T,B741,Boeing 747-100 Freighter
74U,B743,Boeing 747-300 / 747-200 SUD Freighter
74V,B74R,Boeing 747SR Freighter
74X,B742,Boeing 747-200 Freighter
74Y,B744,Boeing 747-400 Freighter
752,B752,Boeing 757-200 pax
753,B753,Boeing 757-300 pax
757,n/a,Boeing 757 all pax models
75F,B752,Boeing 757 Freighter
75M,B752,Boeing 757 Mixed Configuration
75W,B752,Boeing 757-200 (winglets) pax
762,B762,Boeing 767-200 pax
763,B763,Boeing 767-300 pax
764,B764,Boeing 767-400 pax
767,n/a,Boeing 767 all pax models
76F,n/a,Boeing 767 all Freighter models
76W,B763,Boeing 767-300 (winglets) pax
76X,B762,Boeing 767-200 Freighter
76Y,B763,Boeing 767-300 Freighter
772,B772,Boeing 777-200 pax
773,B773,Boeing 777-300 pax
777,n/a,Boeing 777 all pax models
77F,n/a,Boeing 777 Freighter
77L,B772,Boeing 777-200LR pax
77W,B77W,Boeing 777-300ER pax
77X,B77L,Boeing 777-200 Freighter
783,B783,Boeing 787-3 pax
788,B788,Boeing 787-8 pax
789,B789,Boeing 787-9 pax
7M7,B37M,Boeing 737 MAX 7 pax
7M8,B38M,Boeing 737 MAX 8 pax
7M9,B39M,Boeing 737 MAX 9 pax
