code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
AAA,-17.3595,-145.494,Anaa Airport,Anaa,Tuamotu-Gambier,French Polynesia,Pacific/Midway,Airports,4921,7,DABB
AAE,36.8236,7.8103,El Mellah Airport,El Tarf,Annaba,Algeria,Africa/Algiers,Airports,9843,16,EKYT
AAL,57.0952,9.85606,Aalborg Airport,Norresundby,Nordjylland,Denmark,Europe/Copenhagen,Airports,8700,10,FAMD
AAM,-24.8,31.5333,Mala Mala,Mala Mala,,South Africa,Africa/Johannesburg,Airports,4420,1200,OMAL
AAN,24.25,55.75,Al Ain Airport,Ayn al Faydah,Abu Dhabi,United Arab Emirates,Asia/Dubai,Airports,,,URKA
AAQ,44.9,37.3167,Olkhovka Airport,Novorossiysk,Krasnodarskiy Kray,Russia,Europe/Moscow,Airports,,,EKAH
AAR,56.3088,10.6154,Tirstrup Airport,Kolind,Midtjylland,Denmark,Europe/Copenhagen,Airports,9127,81,ZWAT
AAT,47.7406,88.0845,Altay Airport,Altay,Xinjiang,China,Asia/Urumqi,Airports,,,SBAX
AAX,-19.5603,-46.9653,Romeu Zuma Airport,Araxá,Minas Gerais,Brazil,America/Sao_Paulo,Airports,6230,3274,OYGD
AAY,16.1947,52.1694,Al Gaidah Airport,Al Ghaydah,Hadramawt,Yemen,Asia/Aden,Airports,8858,98,UNAA
ABA,53.7167,91.4333,Abakan,Abakan,Khakasiya,Russian Federation,Asia/Krasnoyarsk,Airports,,,LEAB
ABC,38.9833,-1.85,Los Llanos,Albacete,Castilla-la Mancha,Spain,Europe/Madrid,Airports,,,OIAA
ABD,30.3374,48.3032,,Abadan,Khuzestan,Iran,Asia/Tehran,Airports,10170,10,KABE
ABE,40.6514,-75.4342,Lehigh Valley International Airport,Allentown,Pennsylvania,United States,America/New_York,Airports,,,KABI
ABI,32.4164,-99.6803,Abilene Regional Airport,Abilene,Texas,United States,America/Chicago,Airports,7199,1790,DIAP
ABJ,5.2556,-3.9292,Abidjan Port Bouet Airport,Abidjan,Abidjan,Ivory Coast,Africa/Abidjan,Airports,8858,20,HAKD
ABK,6.73719,44.2797,Kabri Dar,Kabri Dar,Ogaden,Ethiopia,Africa/Addis_Ababa,Airports,10935,1800,
ABL,67.1058,-157.854,Ambler Airport,Kiana,Alaska,United States,America/Anchorage,Airports,2600,289,YBAM
ABM,-10.9438,142.453,Bamaga Airport,Seisia,Queensland,Australia,Australia/Brisbane,Airports,6700,49,KABQ
ABQ,35.0494,-106.625,Albuquerque International Airport,Albuquerque,New Mexico,United States,America/Denver,Airports,13375,5352,KABR
ABR,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen,South Dakota,United States,America/Chicago,Airports,6904,1301,HEBL
ABS,22.3722,31.6125,Abu Simbel Airport,Abu Simbel,Aswan,Egypt,Africa/Cairo,Airports,8202,615,OEBA
ABT,20.2961,41.6342,Al Baha Airport,Al Aqiq,Al Baha,Saudi Arabia,Asia/Riyadh,Airports,10991,5486,DNAA
ABV,9.0056,7.2661,Abuja International Airport,Gwagwa,Abuja Capital Territory,Nigeria,Africa/Lagos,Airports,11808,1122,YMAY
ABX,-36.0678,146.956,Albury Airport,Albury,New South Wales,Australia,Australia/Sydney,Airports,6234,539,KABY
ABY,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany,Georgia,United States,America/New_York,Airports,6601,197,EGPD
ABZ,57.2004,-2.20373,Aberdeen Dyce International Airport,Aberdeen,Scotland,United Kingdom,Europe/London,Airports,6002,215,MMAA
ACA,16.7561,-99.7536,General Juan N Alvarez International Airport,Acapulco,Guerrero,Mexico,America/Mexico_City,Airports,,,DGAA
ACC,5.5964,-0.17,Kotoka International Airport,Accra,Greater Accra,Ghana,Africa/Accra,Airports,9800,205,GCRR
